Inputs,1,2,3,4,5,7,8,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,Expected Interfaces,output from Cpipe,29,30,33,34,35,input to Cpipe,37,38,41,42,43
Flow Section,Row Number,Row Enable ,Flow ,Bubble,Sad,Curr Opcode,Snoop response,LLC State,CV,Map,MonHit,CN,AvailData,SelfSnoop,DeadDBP,SnoopConflict,FwdCnfltO,FreeInvWay,CleanEvict,HadReject,ReqCV,SRP_en,SRP_HR_Fill,HadBogus,Pref_Promotion,MiscCondition,Next Bubble,IDI_U2C_REQ,IDI_U2C_RSP,IDI_U2C_DATA,UXI_C2U_REQ,UXI_C2U_DATA,UXI_C2U_RSP,CPIPE_REQ,IDI_C2U_RSP,IDI_C2U_DATA,UXI_U2C_REQ,UXI_U2C_RSP,UXI_U2C_DATA
First Pass,1,1,WbEFtoE,first,HOM,WbEFtoE,X,I,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,h,0,0,0,0,0,0,X,0,0,0,0,0
LLC Miss,2,1,WbEFtoE,h,HOM,WbEFtoE,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,done,0,go_writepull_drop(core_logic_id),0,0,0,0,X,0,0,0,0,0
First Pass,3,1,WbEFtoE,first,HOM,WbEFtoE,X,E/M/S,X,D,X,X,1,X,X,X,X,X,X,X,X,X,X,X,X,X,g,0,0,0,0,0,0,X,0,0,0,0,0
LLC Miss,4,1,WbEFtoE,g,HOM,WbEFtoE,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,done,0,go_writepull_drop(core_logic_id),0,0,0,0,X,0,0,0,0,0
First Pass,5,1,WbEFtoE,first,HOM,WbEFtoE,X,E/M/S,X,SF,X,X,X,X,X,X,X,1,X,X,X,X,X,X,X,X,a,0,0,0,0,0,0,X,0,0,0,0,0
First Pass,6,1,WbEFtoE,first,HOM,WbEFtoE,X,E/M/S,X,SF,X,X,1,X,0,X,X,0,X,X,X,X,X,X,X,X,a,0,0,0,0,0,0,X,0,0,0,0,0
First Pass,7,1,WbEFtoE,first,HOM,WbEFtoE,X,E/M/S,X,SF,X,X,1,X,1,X,X,0,X,X,X,1,1,X,X,X,a,0,0,0,0,0,0,X,0,0,0,0,0
Can allocate,8,1,WbEFtoE,a,HOM,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,X,X,b,0,GO_WRITEPULL(core_logic_id),0,0,0,0,No_Rsp,0,data(core_logic_id),0,0,0
Can allocate,9,1,WbEFtoE,a,HOM,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1,X,X,c,0,GO_WRITEPULL(core_logic_id),0,0,0,0,No_Rsp_Bogus,0,bogus_data(core_logic_id),0,0,0
Can allocate - valid data,10,1,WbEFtoE,b,HOM,No_Rsp,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,done,0,0,0,0,0,0,X,0,0,0,0,0
Can allocate - bogus data,11,1,WbEFtoE,c,HOM,No_Rsp_Bogus,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,done,0,0,0,0,0,0,X,0,0,0,0,0
First Pass,12,1,WbEFtoE,first,HOM,WbEFtoE,X,E/M/S,X,X,X,X,0,X,X,X,X,0,X,X,X,X,X,X,X,X,d,0,0,0,0,0,0,X,0,0,0,0,0
First Pass,13,1,WbEFtoE,first,HOM,WbEFtoE,X,E/M/S,X,X,X,X,1,X,1,X,X,0,X,X,X,0,X,X,X,X,d,0,0,0,0,0,0,X,0,0,0,0,0
First Pass,14,1,WbEFtoE,first,HOM,WbEFtoE,X,E/M/S,X,X,X,X,1,X,1,X,X,0,X,X,X,X,0,X,X,X,d,0,0,0,0,0,0,X,0,0,0,0,0
cannot allocate or no need to allocate,15,1,WbEFtoE,d,HOM,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,done,0,go_writepull_drop(core_logic_id),0,0,0,0,X,0,0,0,0,0
